1568133031, 69.99, 60.0
1568133939, 69.99, 60.0
1568134849, 69.99, 60.0
1568135757, 69.99, 60.0
1568136668, 69.99, 60.0
1568137581, 69.99, 60.0
1568138493, 69.99, 60.0
1568139405, 69.99, 60.0
1568140316, 69.99, 60.0
1568141229, 69.99, 60.0
1568142141, 69.99, 60.0
1568143056, 69.99, 60.0
1568143151, 69.99, 60.0
1568144058, 69.99, 60.0
1568144966, 69.99, 60.0
1568145874, 69.99, 60.0
1568146782, 69.99, 60.0
1568147692, 69.99, 60.0
1568148602, 69.99, 60.0
1568149509, 69.99, 60.0
1568150417, 69.99, 60.0
1568192350, 69.99, 60.0
1568221572, 69.99, 60.0
1568222662, None, 60.0
1568222734, None, 60.0
1568222799, None, 60.0
1568222835, 69.99, 60.0
1568223216, 69.99, 60.0
1568223430, 69.99, 60.0
1568223523, 69.99, 60.0
1568225331, 69.99, 60.0
